Starting h400_l2_d0
Using device: cuda
GPU: AMD Radeon RX 6950 XT
Epoch 01 | Train Loss: 0.051104 | Validation Loss: 0.007943 | LR: 1.00e-03 | Time: 0.27mins
Epoch 02 | Train Loss: 0.004641 | Validation Loss: 0.002766 | LR: 1.00e-03 | Time: 0.27mins
Epoch 03 | Train Loss: 0.002249 | Validation Loss: 0.002105 | LR: 1.00e-03 | Time: 0.26mins
Epoch 04 | Train Loss: 0.001938 | Validation Loss: 0.001842 | LR: 1.00e-03 | Time: 0.26mins
Epoch 05 | Train Loss: 0.001801 | Validation Loss: 0.001789 | LR: 1.00e-03 | Time: 0.26mins
Epoch 06 | Train Loss: 0.001767 | Validation Loss: 0.001826 | LR: 1.00e-03 | Time: 0.26mins
Epoch 07 | Train Loss: 0.001735 | Validation Loss: 0.001712 | LR: 1.00e-03 | Time: 0.26mins
Epoch 08 | Train Loss: 0.001681 | Validation Loss: 0.001725 | LR: 1.00e-03 | Time: 0.26mins
Epoch 09 | Train Loss: 0.001706 | Validation Loss: 0.001704 | LR: 1.00e-03 | Time: 0.26mins
Epoch 10 | Train Loss: 0.001653 | Validation Loss: 0.001631 | LR: 1.00e-03 | Time: 0.26mins
Epoch 11 | Train Loss: 0.001621 | Validation Loss: 0.001627 | LR: 1.00e-03 | Time: 0.26mins
Epoch 12 | Train Loss: 0.001635 | Validation Loss: 0.001616 | LR: 1.00e-03 | Time: 0.26mins
Epoch 13 | Train Loss: 0.001612 | Validation Loss: 0.001731 | LR: 1.00e-03 | Time: 0.26mins
Epoch 14 | Train Loss: 0.001579 | Validation Loss: 0.001629 | LR: 1.00e-03 | Time: 0.26mins
Epoch 15 | Train Loss: 0.001629 | Validation Loss: 0.001589 | LR: 1.00e-03 | Time: 0.26mins
Epoch 16 | Train Loss: 0.001542 | Validation Loss: 0.001540 | LR: 1.00e-03 | Time: 0.26mins
Epoch 17 | Train Loss: 0.001515 | Validation Loss: 0.001548 | LR: 1.00e-03 | Time: 0.26mins
Epoch 18 | Train Loss: 0.001517 | Validation Loss: 0.001549 | LR: 1.00e-03 | Time: 0.26mins
Epoch 19 | Train Loss: 0.001517 | Validation Loss: 0.001515 | LR: 1.00e-03 | Time: 0.26mins
Epoch 20 | Train Loss: 0.001476 | Validation Loss: 0.001483 | LR: 1.00e-03 | Time: 0.26mins
Epoch 21 | Train Loss: 0.001484 | Validation Loss: 0.001483 | LR: 1.00e-03 | Time: 0.26mins
Epoch 22 | Train Loss: 0.001463 | Validation Loss: 0.001460 | LR: 1.00e-03 | Time: 0.26mins
Epoch 23 | Train Loss: 0.001476 | Validation Loss: 0.001444 | LR: 1.00e-03 | Time: 0.26mins
Epoch 24 | Train Loss: 0.001403 | Validation Loss: 0.001456 | LR: 1.00e-03 | Time: 0.26mins
Epoch 25 | Train Loss: 0.001434 | Validation Loss: 0.001492 | LR: 1.00e-03 | Time: 0.26mins
Epoch 26 | Train Loss: 0.001408 | Validation Loss: 0.001406 | LR: 1.00e-03 | Time: 0.26mins
Epoch 27 | Train Loss: 0.001421 | Validation Loss: 0.001456 | LR: 1.00e-03 | Time: 0.26mins
Epoch 28 | Train Loss: 0.001392 | Validation Loss: 0.001422 | LR: 1.00e-03 | Time: 0.26mins
Epoch 29 | Train Loss: 0.001370 | Validation Loss: 0.001369 | LR: 1.00e-03 | Time: 0.26mins
Epoch 30 | Train Loss: 0.001349 | Validation Loss: 0.001379 | LR: 1.00e-03 | Time: 0.26mins
Epoch 31 | Train Loss: 0.001348 | Validation Loss: 0.001373 | LR: 1.00e-03 | Time: 0.26mins
Epoch 32 | Train Loss: 0.001387 | Validation Loss: 0.001339 | LR: 1.00e-03 | Time: 0.26mins
Epoch 33 | Train Loss: 0.001294 | Validation Loss: 0.001333 | LR: 1.00e-03 | Time: 0.26mins
Epoch 34 | Train Loss: 0.001312 | Validation Loss: 0.001349 | LR: 1.00e-03 | Time: 0.26mins
Epoch 35 | Train Loss: 0.001299 | Validation Loss: 0.001325 | LR: 1.00e-03 | Time: 0.26mins
